SoldTo,Name,ADRC,ST2,Sales Organization,Distribution Channel,Division,Partner Function,Partner counter,Partner,Name,Partner Description,Default Partner,ADRC,ST2
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,14,3206258,ZZROBERT GANTER CONTRACTORS INC,,,182085,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,15,3515066,J/HUNTINGTON CHEVROLET NEW CONST,,,309027,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SP,0,1004582,ZZA B C SPLY 443 AVENEL,,,87648,443
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,20,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,20,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,20,SH,0,1004852,ZZA B C SPLY 412 BALTIMORE,,,87728,412
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,20,SP,0,1004852,ZZA B C SPLY 412 BALTIMORE,,,87728,412
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,30,BP,1,6004275,A B C SPLY BELOIT,,,75986,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,30,PY,0,5002047,A B C SPLY BELOIT,,,76274,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,30,SH,0,1004852,ZZA B C SPLY 412 BALTIMORE,,,87728,412
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,30,SP,0,1004852,ZZA B C SPLY 412 BALTIMORE,,,87728,412
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,SH,2,3215859,J/FRANCIS SCOTT KEY BRIDGE,,,81254,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,SH,3,3217189,J/SHARPSBURG ELEMENTARY SCHOOL,,,81798,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,SH,4,3220875,J/W R GRACE BLDG 25/BRADCO BALT,,,83156,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,SH,5,3223518,J/ROBERT MOTON ELEMENTARY/BRADCO,,,84047,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,SH,6,3226285,J/WR GRACE BLDG 23D/BRADCO,,,85431,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,SH,7,3230737,J/DIAEGO RELAY,,,77769,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,40,SP,0,1004852,ZZA B C SPLY 412 BALTIMORE,,,87728,412
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SH,0,1004852,ZZA B C SPLY 412 BALTIMORE,,,87728,412
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SH,1,3173180,J/ICE HOUSE/BRADCO,,,182504,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SH,2,3191586,J/GEORGETOWN UNIVERSITY/BRADCO,,,182403,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SH,3,3156597,ZZSIMPSON OF MARYLAND INC,,,167047,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SH,4,3192437,J/BASIC SCIENCE/BRADCO,,,183169,
